Here are the edited lines:
Now, these are the kings of the land whom the children of Israel defeated and possessed their territory on the other side of the Jordan, toward the east, from the river Arnon to Mount Hermon, and all the plains to the east:
Sihon, king of the Amorites, who resided in Heshbon, ruled from Aroer, located on the bank of the river Arnon, and from the middle of the river, and from half of Gilead, all the way to the river Jabbok, which marks the border of the children of Ammon;
And from the plains to the Sea of Chinneroth on the east, and to the Salt Sea on the east, leading to Bethjeshimoth; and from the south, under Ashdothpisgah:
And the territory of Og, king of Bashan, who was one of the remnant of the giants, dwelling in Ashtaroth and Edrei,
And he reigned in Mount Hermon, in Salcah, and throughout all of Bashan, up to the border of the Geshurites and the Maachathites, and half of Gilead, which is the border of Sihon, king of Heshbon.
These were defeated by Moses, the servant of the LORD, and the children of Israel; and Moses, the servant of the LORD, gave this land as a possession to the Reubenites, the Gadites, and the half-tribe of Manasseh.
And these are the kings of the region whom Joshua and the children of Israel defeated on this side of the Jordan, to the west, from Baalgad in the valley of Lebanon to Mount Halak, which ascends to Seir; this land Joshua allocated to the tribes of Israel as their possession according to their divisions;
In the mountains, in the valleys, in the plains, in the springs, and in the wilderness, and in the southern region; the Hittites, the Amorites, the Canaanites, the Perizzites, the Hivites, and the Jebusites:
The king of Jericho, one; the king of Ai, which is near Bethel, one;
The king of Jerusalem, one; the king of Hebron, one;
The king of Jarmuth, one; the king of Lachish, one;
The king of Eglon, one; the king of Gezer, one;
The king of Debir, one; the king of Geder, one;
The king of Hormah, one; the king of Arad, one;
The king of Libnah, one; the king of Adullam, one;
The king of Makkedah, one; the king of Bethel, one;
The king of Tappuah, one; the king of Hepher, one;
The king of Aphek, one; the king of Lasharon, one;
The king of Madon, one; the king of Hazor, one;
The king of Shimronmeron, one; the king of Achshaph, one;
The king of Taanach, one; the king of Megiddo, one;
The king of Kedesh, one; the king of Jokneam of Carmel, one;
The king of Dor in the region of Dor, one; the king of the nations of Gilgal, one;
The king of Tirzah, one: in total, there were thirty-one kings.
